,titulo
4464,alunos ingressanteslive boasvindas
4466,vaga fapesp analista dados estatísticas
4467,vaga fapesp cientista dados
4468,oportunidade estágio
4469,vagas itp
4492,vídeo divulgação maratona programação pet cc ufrn
4493,turmas esperando contratação professor
4495,vaga desenvolvedor backend
4496,pesquisa efeito motivação status escolha curso ensino superior
4497,acesso multoprova
4499,data horário formato proficiências
4501,processo seletivo equipe carkará baja sae
4506,vaga monitoria academia digital idosos
4507,começa palestra inovação sociedade
4511,confirmação vínculo prazo
4516,pesquisa pósdoutorado
4517,alunos ingressantes prazo solicitar proficiencia dia
4527,curso introdução linux
4529,modelagem problemas computacionais grafos
4530,banco dados vagas
4531,acesso piazza prof lourena karin
4534,abertura turmas edb ii lp ii
4535,duvida referente gravação síncrono
4537,recuperar email institucional
4542,whatsapp
4547,aumentar capacidade alunos discisplina imd análise redes h
4549,equivalência matéria sistemas operacionais
4553,horarios aulas convites sala
4559,aproveitamento matéria eletiva
4563,plementares
4566,incrições abertas pra monitoria análise combinatória geometria analítica
4576,aproveitamento matéria
4591,cadastro disciplinas obrigatórias
4598,competição sistemas embarcados sbescesc deadline
4599,turno curso bti
4603,vaga desenvolvedores software
4604,seleção monitor matemática elementar
4605,bolsa monitoria pc itp
4608,guia adesão cadastro único ufrn
4609,bolsa monitoria portal disciplinas imd
4614,solicitações proficiênciadispensa
4616,teste proeficiência
4624,planos curso
4631,planos curso bti ênfase computação bcc
4632,estágio verão vtex webinar ufrn
4633,disciplina sistemas operacionais
4638,turmas cálculo vga noturnas
4642,planos curso bti desenvolvimento softwarebes
4644,existe planos curso
4653,oportunidade estágio suporte ti
4654,apresentação empresa griaule
4656,promover andifes edital nº
4657,permuta turno prazo pra solicitação
4665,demandas disciplinas ênfase bticomputação bcc
4690,mudança ênfaseestrutura curricular período solicitação aberto
4696,inscrições bccbes ciclo bti terça abril
4704,oportunidade voluntariado acalanto
4707,resolução estágio
4708,oportunidade bolsas projeto samanaú sbcda
4712,seleção bolsista
4713,edital seleção mestrado profissional tecnologia informação mpti
4714,convite conexão metrópole interação estudantes universitários empreendedorismo
4717,resultado eleição representação discente bcc
4719,wie can fly oportunidades desafios exterior evento certificado
